Tiempo (s),Distancia 1 (mm),Distancia 2 (mm)
5.04,-14.74,12.22
5.16,-8.46,7.03
5.29,5.35,-2.07
5.41,11.63,-12.45
5.54,19.16,-18.95
5.66,19.16,-24.14
5.79,22.93,-29.34
5.91,22.93,-25.44
6.04,17.91,-16.35
6.16,12.89,-7.26
6.29,5.35,3.13
6.41,-5.95,10.92
6.54,-13.49,16.12
6.66,-22.28,20.01
6.79,-22.28,20.01
6.91,-21.02,18.71
7.04,-14.74,10.92
7.16,-7.21,4.43
7.29,2.84,-4.66
7.41,12.89,-12.45
7.54,16.65,-18.95
7.66,19.16,-26.74
7.79,24.19,-26.74
7.91,20.42,-26.74
8.04,20.42,-16.35
8.16,12.89,-5.96
8.29,6.61,1.83
8.41,-4.70,10.92
8.54,-14.74,16.12
8.66,-22.28,18.71
8.79,-22.28,22.61
8.91,-21.02,17.42
9.04,-13.49,13.52
9.16,-8.46,5.73
9.29,4.09,-3.36
9.41,11.63,-11.16
9.54,16.65,-18.95
9.66,21.68,-25.44
9.79,21.68,-28.04
9.91,22.93,-26.74
10.04,20.42,-16.35
10.16,14.14,-8.56
10.29,5.35,3.13
10.41,-4.70,8.32
10.54,-14.74,16.12
10.66,-21.02,20.01
10.79,-23.54,20.01
10.91,-19.77,17.42
11.04,-16.00,12.22
11.16,-8.46,3.13
11.29,2.84,-2.07
11.41,10.37,-12.45
11.54,17.91,-18.95
11.66,19.16,-25.44
11.79,27.96,-29.34
11.91,22.93,-26.74
12.04,19.16,-18.95
12.16,15.40,-9.86
12.29,6.61,1.83
12.41,-4.70,7.03
12.54,-12.23,14.82
12.66,-21.02,20.01
12.79,-22.28,21.31
12.91,-21.02,18.71
13.04,-16.00,12.22
13.16,-7.21,5.73
13.29,1.58,-2.07
13.41,11.63,-12.45
13.54,16.65,-17.65
13.66,19.16,-26.74
13.79,24.19,-28.04
13.91,21.68,-26.74
14.04,21.68,-17.65
14.16,14.14,-7.26
14.29,6.61,0.53
14.41,-4.70,9.62
14.54,-13.49,14.82
14.66,-21.02,18.71
14.79,-23.54,22.61
14.91,-22.28,17.42
15.04,-14.74,13.52
15.16,-9.72,4.43
15.29,2.84,-2.07
15.41,11.63,-11.16
15.54,16.65,-18.95
15.66,20.42,-24.14
15.79,22.93,-28.04
15.91,22.93,-28.04
16.04,20.42,-18.95
16.16,14.14,-9.86
16.29,9.12,1.83
16.41,-3.44,8.32
16.54,-13.49,13.52
16.66,-19.77,18.71
16.79,-23.54,21.31
16.91,-19.77,17.42
17.04,-16.00,16.12
17.16,-9.72,4.43
17.29,4.09,-2.07
17.41,10.37,-11.16
17.54,17.91,-18.95
17.66,19.16,-24.14
17.79,24.19,-29.34
17.91,22.93,-24.14
18.04,20.42,-18.95
18.16,16.65,-8.56
18.29,7.86,1.83
18.41,-2.19,8.32
18.54,-12.23,14.82
18.66,-22.28,18.71
18.79,-22.28,21.31
18.91,-21.02,20.01
19.04,-17.26,13.52
19.16,-8.46,7.03
19.29,0.33,-0.77
19.41,11.63,-9.86
19.54,16.65,-16.35
19.66,17.91,-25.44
19.79,24.19,-26.74
19.91,21.68,-28.04
20.04,22.93,-18.95
20.16,15.40,-8.56
20.29,7.86,0.53
20.41,-2.19,8.32
20.54,-10.98,13.52
20.66,-21.02,18.71
20.79,-22.28,20.01
20.91,-22.28,17.42
21.04,-14.74,13.52
21.16,-9.72,7.03
21.29,2.84,-2.07
21.41,11.63,-8.56
21.54,15.40,-17.65
21.66,19.16,-25.44
21.79,22.93,-26.74
21.91,22.93,-28.04
22.04,21.68,-18.95
22.16,15.40,-11.16
22.29,10.37,0.53
22.41,-2.19,7.03
22.54,-10.98,12.22
22.66,-18.51,18.71
22.79,-23.54,21.31
22.91,-19.77,18.71
23.04,-16.00,16.12
23.17,-9.72,7.03
23.29,2.84,1.83
23.42,10.37,-9.86
23.54,16.65,-16.35
23.67,17.91,-24.14
23.79,22.93,-28.04
